State,Grade,Standard ID,Standard Text,Project Name,Course Name
CSTA,K-2,1A-IC-17,Work respectfully and responsibly with others online.,0.7 Respecting Others' Work,CS Adventures with VR
CSTA,K-2,1A-IC-18,"Keep login information private, and log off of devices appropriately.",0.7 Respecting Others' Work,CS Adventures with VR
CSTA,K-2,1A-DA-06,Collect and present the same data in various visual formats.,0.8 Data Discovery,CS Adventures with VR
CSTA,K-2,1A-DA-07,"Identify and describe patterns in data visualizations, such as charts or graphs, to make predictions.",0.8 Data Discovery,CS Adventures with VR
CSTA,K-2,1A-CS-01,"Select and operate appropriate software to perform a variety of tasks, and recognize that users have different needs and preferences for the technology they use.",0.9 Google Slides Playground,CS Adventures with VR
CSTA,K-2,1A-CS-03,Describe basic hardware and software problems using accurate terminology.,0.9 Google Slides Playground,CS Adventures with VR
CSTA,K-2,1A-DA-05,"Store, copy, search, retrieve, modify, and delete information using a computing device and define the information stored as data.",0.9 Google Slides Playground,CS Adventures with VR
CSTA,K-2,1A-CS-01,"Select and operate appropriate software to perform a variety of tasks, and recognize that users have different needs and preferences for the technology they use.",0.10 Scavenger Hunt,CS Adventures with VR
CSTA,K-2,1A-DA-05,"Store, copy, search, retrieve, modify, and delete information using a computing device and define the information stored as data.",0.10 Scavenger Hunt,CS Adventures with VR
CSTA,K-2,1A-CS-02,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).,1.1 Dinosaur Hero,CS Adventures with VR
CSTA,K-2,1A-CS-03,Describe basic hardware and software problems using accurate terminology.,1.1 Dinosaur Hero,CS Adventures with VR
CSTA,K-2,1A-AP-15,"Using correct terminology, describe steps taken and choices made during the iterative process of program development.",1.1 Dinosaur Hero,CS Adventures with VR
CSTA,K-2,1A-IC-17,Work respectfully and responsibly with others online.,1.1 Dinosaur Hero,CS Adventures with VR
CSTA,K-2,1A-IC-18,"Keep login information private, and log off of devices appropriately.",1.1 Dinosaur Hero,CS Adventures with VR
CSTA,K-2,1A-CS-02,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).,1.2 Find the Fish,CS Adventures with VR
CSTA,K-2,1A-CS-03,Describe basic hardware and software problems using accurate terminology.,1.2 Find the Fish,CS Adventures with VR
CSTA,K-2,1A-AP-15,"Using correct terminology, describe steps taken and choices made during the iterative process of program development.",1.2 Find the Fish,CS Adventures with VR
CSTA,K-2,1A-IC-17,Work respectfully and responsibly with others online.,1.2 Find the Fish,CS Adventures with VR
CSTA,K-2,1A-IC-18,"Keep login information private, and log off of devices appropriately.",1.2 Find the Fish,CS Adventures with VR
CSTA,K-2,1A-CS-02,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).,1.3 Mail Grab!,CS Adventures with VR
CSTA,K-2,1A-CS-03,Describe basic hardware and software problems using accurate terminology.,1.3 Mail Grab!,CS Adventures with VR
CSTA,K-2,1A-AP-15,"Using correct terminology, describe steps taken and choices made during the iterative process of program development.",1.3 Mail Grab!,CS Adventures with VR
CSTA,K-2,1A-IC-17,Work respectfully and responsibly with others online.,1.3 Mail Grab!,CS Adventures with VR
CSTA,K-2,1A-IC-18,"Keep login information private, and log off of devices appropriately.",1.3 Mail Grab!,CS Adventures with VR
CSTA,K-2,1A-CS-02,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).,2.1 Animal Rescue,CS Adventures with VR
CSTA,K-2,1A-CS-03,Describe basic hardware and software problems using accurate terminology.,2.1 Animal Rescue,CS Adventures with VR
CSTA,K-2,1A-AP-15,"Using correct terminology, describe steps taken and choices made during the iterative process of program development.",2.1 Animal Rescue,CS Adventures with VR
CSTA,K-2,1A-IC-17,Work respectfully and responsibly with others online.,2.1 Animal Rescue,CS Adventures with VR
CSTA,K-2,1A-IC-18,"Keep login information private, and log off of devices appropriately.",2.1 Animal Rescue,CS Adventures with VR
CSTA,K-2,1A-CS-02,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).,2.2 Halloween Parade,CS Adventures with VR
CSTA,K-2,1A-CS-03,Describe basic hardware and software problems using accurate terminology.,2.2 Halloween Parade,CS Adventures with VR
CSTA,K-2,1A-AP-15,"Using correct terminology, describe steps taken and choices made during the iterative process of program development.",2.2 Halloween Parade,CS Adventures with VR
CSTA,K-2,1A-IC-17,Work respectfully and responsibly with others online.,2.2 Halloween Parade,CS Adventures with VR
CSTA,K-2,1A-IC-18,"Keep login information private, and log off of devices appropriately.",2.2 Halloween Parade,CS Adventures with VR
CSTA,K-2,1A-CS-02,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).,2.3 Backyard Dance Party,CS Adventures with VR
CSTA,K-2,1A-CS-03,Describe basic hardware and software problems using accurate terminology.,2.3 Backyard Dance Party,CS Adventures with VR
CSTA,K-2,1A-AP-15,"Using correct terminology, describe steps taken and choices made during the iterative process of program development.",2.3 Backyard Dance Party,CS Adventures with VR
CSTA,K-2,1A-IC-17,Work respectfully and responsibly with others online.,2.3 Backyard Dance Party,CS Adventures with VR
CSTA,K-2,1A-IC-18,"Keep login information private, and log off of devices appropriately.",2.3 Backyard Dance Party,CS Adventures with VR
CSTA,K-2,1A-CS-02,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).,3.1 Alien Planet,CS Adventures with VR
CSTA,K-2,1A-CS-03,Describe basic hardware and software problems using accurate terminology.,3.1 Alien Planet,CS Adventures with VR
CSTA,K-2,1A-AP-15,"Using correct terminology, describe steps taken and choices made during the iterative process of program development.",3.1 Alien Planet,CS Adventures with VR
CSTA,K-2,1A-IC-17,Work respectfully and responsibly with others online.,3.1 Alien Planet,CS Adventures with VR
CSTA,K-2,1A-IC-18,"Keep login information private, and log off of devices appropriately.",3.1 Alien Planet,CS Adventures with VR
CSTA,K-2,1A-CS-02,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).,3.2 Alphabet Town,CS Adventures with VR
CSTA,K-2,1A-CS-03,Describe basic hardware and software problems using accurate terminology.,3.2 Alphabet Town,CS Adventures with VR
CSTA,K-2,1A-AP-15,"Using correct terminology, describe steps taken and choices made during the iterative process of program development.",3.2 Alphabet Town,CS Adventures with VR
CSTA,K-2,1A-IC-17,Work respectfully and responsibly with others online.,3.2 Alphabet Town,CS Adventures with VR
CSTA,K-2,1A-IC-18,"Keep login information private, and log off of devices appropriately.",3.2 Alphabet Town,CS Adventures with VR
CSTA,K-2,1A-CS-02,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).,3.3 I Spy,CS Adventures with VR
CSTA,K-2,1A-CS-03,Describe basic hardware and software problems using accurate terminology.,3.3 I Spy,CS Adventures with VR
CSTA,K-2,1A-AP-15,"Using correct terminology, describe steps taken and choices made during the iterative process of program development.",3.3 I Spy,CS Adventures with VR
CSTA,K-2,1A-IC-17,Work respectfully and responsibly with others online.,3.3 I Spy,CS Adventures with VR
CSTA,K-2,1A-IC-18,"Keep login information private, and log off of devices appropriately.",3.3 I Spy,CS Adventures with VR
CSTA,K-2,1A-CS-02,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).,4.1 The Magic Forest,CS Adventures with VR
CSTA,K-2,1A-CS-03,Describe basic hardware and software problems using accurate terminology.,4.1 The Magic Forest,CS Adventures with VR
CSTA,K-2,1A-AP-08,Model daily processes by creating and following algorithms (sets of step-by-step instructions) to complete tasks.,4.1 The Magic Forest,CS Adventures with VR
CSTA,K-2,1A-AP-09,Model the way programs store and manipulate data by using numbers or other symbols to represent information.,4.1 The Magic Forest,CS Adventures with VR
CSTA,K-2,1A-AP-10,Model the way programs store and manipulate data by using numbers or other symbols to represent information.,4.1 The Magic Forest,CS Adventures with VR
CSTA,K-2,1A-AP-11,Decompose (break down) the steps needed to solve a problem into a precise sequence of instructions.,4.1 The Magic Forest,CS Adventures with VR
CSTA,K-2,1A-AP-12,"Develop plans that describe a program’s sequence of events, goals, and expected outcomes.",4.1 The Magic Forest,CS Adventures with VR
CSTA,K-2,1A-AP-13,Give attribution when using the ideas and creations of others while developing programs.,4.1 The Magic Forest,CS Adventures with VR
CSTA,K-2,1A-AP-14,Debug (identify and fix) errors in an algorithm or program that includes sequences and simple loops.,4.1 The Magic Forest,CS Adventures with VR
CSTA,K-2,1A-AP-15,"Using correct terminology, describe steps taken and choices made during the iterative process of program development.",4.1 The Magic Forest,CS Adventures with VR
CSTA,K-2,1A-IC-17,Work respectfully and responsibly with others online.,4.1 The Magic Forest,CS Adventures with VR
CSTA,K-2,1A-IC-18,"Keep login information private, and log off of devices appropriately.",4.1 The Magic Forest,CS Adventures with VR
CSTA,K-2,1A-CS-02,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).,4.2 Holiday Fun,CS Adventures with VR
CSTA,K-2,1A-CS-03,Describe basic hardware and software problems using accurate terminology.,4.2 Holiday Fun,CS Adventures with VR
CSTA,K-2,1A-AP-08,Model daily processes by creating and following algorithms (sets of step-by-step instructions) to complete tasks.,4.2 Holiday Fun,CS Adventures with VR
CSTA,K-2,1A-AP-09,Model the way programs store and manipulate data by using numbers or other symbols to represent information.,4.2 Holiday Fun,CS Adventures with VR
CSTA,K-2,1A-AP-10,Model the way programs store and manipulate data by using numbers or other symbols to represent information.,4.2 Holiday Fun,CS Adventures with VR
CSTA,K-2,1A-AP-11,Decompose (break down) the steps needed to solve a problem into a precise sequence of instructions.,4.2 Holiday Fun,CS Adventures with VR
CSTA,K-2,1A-AP-12,"Develop plans that describe a program’s sequence of events, goals, and expected outcomes.",4.2 Holiday Fun,CS Adventures with VR
CSTA,K-2,1A-AP-13,Give attribution when using the ideas and creations of others while developing programs.,4.2 Holiday Fun,CS Adventures with VR
CSTA,K-2,1A-AP-14,Debug (identify and fix) errors in an algorithm or program that includes sequences and simple loops.,4.2 Holiday Fun,CS Adventures with VR
CSTA,K-2,1A-AP-15,"Using correct terminology, describe steps taken and choices made during the iterative process of program development.",4.2 Holiday Fun,CS Adventures with VR
CSTA,K-2,1A-IC-17,Work respectfully and responsibly with others online.,4.2 Holiday Fun,CS Adventures with VR
CSTA,K-2,1A-IC-18,"Keep login information private, and log off of devices appropriately.",4.2 Holiday Fun,CS Adventures with VR
CSTA,K-2,1A-CS-02,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).,4.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-CS-03,Describe basic hardware and software problems using accurate terminology.,4.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-AP-08,Model daily processes by creating and following algorithms (sets of step-by-step instructions) to complete tasks.,4.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-AP-09,Model the way programs store and manipulate data by using numbers or other symbols to represent information.,4.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-AP-10,Model the way programs store and manipulate data by using numbers or other symbols to represent information.,4.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-AP-11,Decompose (break down) the steps needed to solve a problem into a precise sequence of instructions.,4.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-AP-12,"Develop plans that describe a program’s sequence of events, goals, and expected outcomes.",4.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-AP-13,Give attribution when using the ideas and creations of others while developing programs.,4.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-AP-14,Debug (identify and fix) errors in an algorithm or program that includes sequences and simple loops.,4.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-AP-15,"Using correct terminology, describe steps taken and choices made during the iterative process of program development.",4.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-IC-17,Work respectfully and responsibly with others online.,4.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-IC-18,"Keep login information private, and log off of devices appropriately.",4.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-CS-02,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).,5.1 Picnic Party,CS Adventures with VR
CSTA,K-2,1A-CS-03,Describe basic hardware and software problems using accurate terminology.,5.1 Picnic Party,CS Adventures with VR
CSTA,K-2,1A-AP-08,Model daily processes by creating and following algorithms (sets of step-by-step instructions) to complete tasks.,5.1 Picnic Party,CS Adventures with VR
CSTA,K-2,1A-AP-09,Model the way programs store and manipulate data by using numbers or other symbols to represent information.,5.1 Picnic Party,CS Adventures with VR
CSTA,K-2,1A-AP-10,Model the way programs store and manipulate data by using numbers or other symbols to represent information.,5.1 Picnic Party,CS Adventures with VR
CSTA,K-2,1A-AP-11,Decompose (break down) the steps needed to solve a problem into a precise sequence of instructions.,5.1 Picnic Party,CS Adventures with VR
CSTA,K-2,1A-AP-12,"Develop plans that describe a program’s sequence of events, goals, and expected outcomes.",5.1 Picnic Party,CS Adventures with VR
CSTA,K-2,1A-AP-13,Give attribution when using the ideas and creations of others while developing programs.,5.1 Picnic Party,CS Adventures with VR
CSTA,K-2,1A-AP-14,Debug (identify and fix) errors in an algorithm or program that includes sequences and simple loops.,5.1 Picnic Party,CS Adventures with VR
CSTA,K-2,1A-AP-15,"Using correct terminology, describe steps taken and choices made during the iterative process of program development.",5.1 Picnic Party,CS Adventures with VR
CSTA,K-2,1A-IC-17,Work respectfully and responsibly with others online.,5.1 Picnic Party,CS Adventures with VR
CSTA,K-2,1A-IC-18,"Keep login information private, and log off of devices appropriately.",5.1 Picnic Party,CS Adventures with VR
CSTA,K-2,1A-CS-02,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).,5.2 Dinosaur Safari,CS Adventures with VR
CSTA,K-2,1A-CS-03,Describe basic hardware and software problems using accurate terminology.,5.2 Dinosaur Safari,CS Adventures with VR
CSTA,K-2,1A-AP-08,Model daily processes by creating and following algorithms (sets of step-by-step instructions) to complete tasks.,5.2 Dinosaur Safari,CS Adventures with VR
CSTA,K-2,1A-AP-09,Model the way programs store and manipulate data by using numbers or other symbols to represent information.,5.2 Dinosaur Safari,CS Adventures with VR
CSTA,K-2,1A-AP-10,Model the way programs store and manipulate data by using numbers or other symbols to represent information.,5.2 Dinosaur Safari,CS Adventures with VR
CSTA,K-2,1A-AP-11,Decompose (break down) the steps needed to solve a problem into a precise sequence of instructions.,5.2 Dinosaur Safari,CS Adventures with VR
CSTA,K-2,1A-AP-12,"Develop plans that describe a program’s sequence of events, goals, and expected outcomes.",5.2 Dinosaur Safari,CS Adventures with VR
CSTA,K-2,1A-AP-13,Give attribution when using the ideas and creations of others while developing programs.,5.2 Dinosaur Safari,CS Adventures with VR
CSTA,K-2,1A-AP-14,Debug (identify and fix) errors in an algorithm or program that includes sequences and simple loops.,5.2 Dinosaur Safari,CS Adventures with VR
CSTA,K-2,1A-AP-15,"Using correct terminology, describe steps taken and choices made during the iterative process of program development.",5.2 Dinosaur Safari,CS Adventures with VR
CSTA,K-2,1A-IC-17,Work respectfully and responsibly with others online.,5.2 Dinosaur Safari,CS Adventures with VR
CSTA,K-2,1A-IC-18,"Keep login information private, and log off of devices appropriately.",5.2 Dinosaur Safari,CS Adventures with VR
CSTA,K-2,1A-CS-02,Use appropriate terminology in identifying and describing the function of common physical components of computing systems (hardware).,5.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-CS-03,Describe basic hardware and software problems using accurate terminology.,5.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-AP-08,Model daily processes by creating and following algorithms (sets of step-by-step instructions) to complete tasks.,5.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-AP-09,Model the way programs store and manipulate data by using numbers or other symbols to represent information.,5.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-AP-10,Model the way programs store and manipulate data by using numbers or other symbols to represent information.,5.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-AP-11,Decompose (break down) the steps needed to solve a problem into a precise sequence of instructions.,5.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-AP-12,"Develop plans that describe a program’s sequence of events, goals, and expected outcomes.",5.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-AP-13,Give attribution when using the ideas and creations of others while developing programs.,5.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-AP-14,Debug (identify and fix) errors in an algorithm or program that includes sequences and simple loops.,5.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-AP-15,"Using correct terminology, describe steps taken and choices made during the iterative process of program development.",5.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-IC-17,Work respectfully and responsibly with others online.,5.3 Passion Project,CS Adventures with VR
CSTA,K-2,1A-IC-18,"Keep login information private, and log off of devices appropriately.",5.3 Passion Project,CS Adventures with VR
CSTA,3-5,1B-NI-05,Discuss real-world cybersecurity problems and how personal information can be protected.,0.1 Cyber Smart Explorers,CS Breakthroughs with VR
CSTA,3-5,1B-NI-05,Discuss real-world cybersecurity problems and how personal information can be protected.,0.2 Digital Footprints,CS Breakthroughs with VR
CSTA,3-5,1B-CS-01,Discuss real-world cybersecurity problems and how personal information can be protected.,0.3 Journey Through Computer Systems,CS Breakthroughs with VR
CSTA,3-5,1B-CS-02,Model how computer hardware and software work together as a system to accomplish tasks.,0.3 Journey Through Computer Systems,CS Breakthroughs with VR
CSTA,3-5,1B-NI-04,"Model how information is broken down into smaller pieces, transmitted as packets through multiple devices over networks and the Internet, and reassembled at the destination.",0.3 Journey Through Computer Systems,CS Breakthroughs with VR
CSTA,3-5,1B-IC-18,"Discuss computing technologies that have changed the world, and express how those technologies influence, and are influenced by, cultural practices.",0.4 Technology Transformations,CS Breakthroughs with VR
CSTA,3-5,1B-IC-19,Brainstorm ways to improve the accessibility and usability of technology products for the diverse needs and wants of users.,0.4 Technology Transformations,CS Breakthroughs with VR
CSTA,3-5,1B-IC-21,"Use public domain or creative commons media, and refrain from copying or using material created by others without permission.",0.5 Copyright: Protecting Creativity,CS Breakthroughs with VR
CSTA,3-5,1B-DA-06,Organize and present collected data visually to highlight relationships and support a claim.,0.6 Data Detectives,CS Breakthroughs with VR
CSTA,3-5,1B-DA-07,"Use data to highlight or propose cause-and-effect relationships, predict outcomes, or communicate an idea.",0.6 Data Detectives,CS Breakthroughs with VR
CSTA,3-5,1B-NI-05,Discuss real-world cybersecurity problems and how personal information can be protected.,0.7 Slide Smarts with Digital Workbooks,CS Breakthroughs with VR
CSTA,3-5,1B-IC-21,"Use public domain or creative commons media, and refrain from copying or using material created by others without permission.",0.7 Slide Smarts with Digital Workbooks,CS Breakthroughs with VR
CSTA,3-5,1B-CS-03,Determine potential solutions to solve simple hardware and software problems using common troubleshooting strategies.,0.8 Scavenger Hunt,CS Breakthroughs with VR
CSTA,3-5,1B-NI-05,Discuss real-world cybersecurity problems and how personal information can be protected.,0.8 Scavenger Hunt,CS Breakthroughs with VR
CSTA,3-5,,,0.9 VR Tutorial,CS Breakthroughs with VR
CSTA,3-5,,,0.9 VR Tutorial,CS Breakthroughs with VR
CSTA,3-5,1B-CS-03,Determine potential solutions to solve simple hardware and software problems using common troubleshooting strategies.,1.1 Our Class Pet,CS Breakthroughs with VR
CSTA,3-5,1B-AP-11,"Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.",1.1 Our Class Pet,CS Breakthroughs with VR
CSTA,3-5,1B-AP-12,"Modify, remix, or incorporate portions of an existing program into one's own work, to develop something new or add more advanced features.",1.1 Our Class Pet,CS Breakthroughs with VR
CSTA,3-5,1B-AP-14,Observe intellectual property rights and give appropriate attribution when creating or remixing programs.,1.1 Our Class Pet,CS Breakthroughs with VR
CSTA,3-5,1B-CS-03,Determine potential solutions to solve simple hardware and software problems using common troubleshooting strategies.,1.2 Team Battle,CS Breakthroughs with VR
CSTA,3-5,1B-AP-11,"Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.",1.2 Team Battle,CS Breakthroughs with VR
CSTA,3-5,1B-AP-12,"Modify, remix, or incorporate portions of an existing program into one's own work, to develop something new or add more advanced features.",1.2 Team Battle,CS Breakthroughs with VR
CSTA,3-5,1B-AP-13,Use an iterative process to plan the development of a program by including others' perspectives and considering user preferences.,1.2 Team Battle,CS Breakthroughs with VR
CSTA,3-5,1B-AP-14,Observe intellectual property rights and give appropriate attribution when creating or remixing programs.,1.2 Team Battle,CS Breakthroughs with VR
CSTA,3-5,1B-AP-16,"Take on varying roles, with teacher guidance, when collaborating with peers during the design, implementation, and review stages of program development.",1.2 Team Battle,CS Breakthroughs with VR
CSTA,3-5,1B-AP-17,"Describe choices made during program development using code comments, presentations, and demonstrations.",1.2 Team Battle,CS Breakthroughs with VR
CSTA,3-5,1B-IC-20,Seek diverse perspectives for the purpose of improving computational artifacts.,1.2 Team Battle,CS Breakthroughs with VR
CSTA,3-5,1B-CS-03,Determine potential solutions to solve simple hardware and software problems using common troubleshooting strategies.,1.3 Future Me,CS Breakthroughs with VR
CSTA,3-5,1B-AP-11,"Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.",1.3 Future Me,CS Breakthroughs with VR
CSTA,3-5,1B-AP-12,"Modify, remix, or incorporate portions of an existing program into one's own work, to develop something new or add more advanced features.",1.3 Future Me,CS Breakthroughs with VR
CSTA,3-5,1B-AP-14,Observe intellectual property rights and give appropriate attribution when creating or remixing programs.,1.3 Future Me,CS Breakthroughs with VR
CSTA,3-5,1B-CS-03,Determine potential solutions to solve simple hardware and software problems using common troubleshooting strategies.,1.4 Passion Project,CS Breakthroughs with VR
CSTA,3-5,1B-AP-11,"Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.",1.4 Passion Project,CS Breakthroughs with VR
CSTA,3-5,1B-AP-12,"Modify, remix, or incorporate portions of an existing program into one's own work, to develop something new or add more advanced features.",1.4 Passion Project,CS Breakthroughs with VR
CSTA,3-5,1B-AP-14,Observe intellectual property rights and give appropriate attribution when creating or remixing programs.,1.4 Passion Project,CS Breakthroughs with VR
CSTA,3-5,1B-CS-03,Determine potential solutions to solve simple hardware and software problems using common troubleshooting strategies.,2.1 Hide and Seek,CS Breakthroughs with VR
CSTA,3-5,1B-AP-08,Compare and refine multiple algorithms for the same task and determine which is the most appropriate.,2.1 Hide and Seek,CS Breakthroughs with VR
CSTA,3-5,1B-AP-10,"Create programs that include sequences, events, loops, and conditionals.",2.1 Hide and Seek,CS Breakthroughs with VR
CSTA,3-5,1B-AP-11,"Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.",2.1 Hide and Seek,CS Breakthroughs with VR
CSTA,3-5,1B-AP-12,"Modify, remix, or incorporate portions of an existing program into one's own work, to develop something new or add more advanced features.",2.1 Hide and Seek,CS Breakthroughs with VR
CSTA,3-5,1B-AP-14,Observe intellectual property rights and give appropriate attribution when creating or remixing programs.,2.1 Hide and Seek,CS Breakthroughs with VR
CSTA,3-5,1B-AP-15,Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended.,2.1 Hide and Seek,CS Breakthroughs with VR
CSTA,3-5,1B-CS-03,Determine potential solutions to solve simple hardware and software problems using common troubleshooting strategies.,2.2 Animal Whisperer,CS Breakthroughs with VR
CSTA,3-5,1B-AP-08,Compare and refine multiple algorithms for the same task and determine which is the most appropriate.,2.2 Animal Whisperer,CS Breakthroughs with VR
CSTA,3-5,1B-AP-10,"Create programs that include sequences, events, loops, and conditionals.",2.2 Animal Whisperer,CS Breakthroughs with VR
CSTA,3-5,1B-AP-11,"Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.",2.2 Animal Whisperer,CS Breakthroughs with VR
CSTA,3-5,1B-AP-12,"Modify, remix, or incorporate portions of an existing program into one's own work, to develop something new or add more advanced features.",2.2 Animal Whisperer,CS Breakthroughs with VR
CSTA,3-5,1B-AP-13,Use an iterative process to plan the development of a program by including others' perspectives and considering user preferences.,2.2 Animal Whisperer,CS Breakthroughs with VR
CSTA,3-5,1B-AP-14,Observe intellectual property rights and give appropriate attribution when creating or remixing programs.,2.2 Animal Whisperer,CS Breakthroughs with VR
CSTA,3-5,1B-AP-15,Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended.,2.2 Animal Whisperer,CS Breakthroughs with VR
CSTA,3-5,1B-AP-16,"Take on varying roles, with teacher guidance, when collaborating with peers during the design, implementation, and review stages of program development.",2.2 Animal Whisperer,CS Breakthroughs with VR
CSTA,3-5,1B-AP-17,"Describe choices made during program development using code comments, presentations, and demonstrations.",2.2 Animal Whisperer,CS Breakthroughs with VR
CSTA,3-5,1B-IC-20,Seek diverse perspectives for the purpose of improving computational artifacts.,2.2 Animal Whisperer,CS Breakthroughs with VR
CSTA,3-5,1B-CS-03,Determine potential solutions to solve simple hardware and software problems using common troubleshooting strategies.,2.3 Alien Invasion!,CS Breakthroughs with VR
CSTA,3-5,1B-AP-08,Compare and refine multiple algorithms for the same task and determine which is the most appropriate.,2.3 Alien Invasion!,CS Breakthroughs with VR
CSTA,3-5,1B-AP-10,"Create programs that include sequences, events, loops, and conditionals.",2.3 Alien Invasion!,CS Breakthroughs with VR
CSTA,3-5,1B-AP-11,"Decompose (break down) problems into smaller, manageable subproblems to facilitate the program development process.",2.3 Alien Invasion!,CS Breakthroughs with VR
CSTA,3-5,1B-AP-12,"Modify, remix, or incorporate portions of an existing program into one's own work, to develop something new or add more advanced features.",2.3 Alien Invasion!,CS Breakthroughs with VR
CSTA,3-5,1B-AP-14,Observe intellectual property rights and give appropriate attribution when creating or remixing programs.,2.3 Alien Invasion!,CS Breakthroughs with VR
CSTA,3-5,1B-AP-15,Test and debug (identify and fix errors) a program or algorithm to ensure it runs as intended.,2.3 Alien Invasion!,CS Breakthroughs with VR
CSTA,3-5,1B-CS-03,Determine potential solutions to solve simple hardware and software problems using common troubleshooting strategies.,2.4 Passion Project,CS Breakthroughs with VR
CSTA,3-5,1B-AP-08,Compare and refine multiple algorithms for the same task and determine which is the most appropriate.,2.4 Passion Project,CS Breakthroughs with VR
